Table S1 Original predicted PPIs ,,,,,,,
interactor A,annotation,interactor B,annotation,taxid,Organism,method,ref
Unigene2443,dynein light chain LC8-type,Unigene16529,small subunit ribosomal protein S3Ae,taxid:6239,Caenorhabditis_elegans,"psi-mi:""MI:0018""(two hybrid)",pubmed:14704431
Unigene17242,small ubiquitin-related modifier,Unigene13251,chaperonin GroES,taxid:7227,Drosophila_melanogaster,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:22036573
Unigene2079,cytochrome c oxidase subunit VIb [EC:1.9.3.1],Unigene5191,cytochrome c,taxid:7227,Drosophila_melanogaster,"psi-mi:""MI:0018""(two hybrid)",pubmed:14605208
Unigene13051,mitotic spindle assembly checkpoint protein MAD2B,Unigene13051,mitotic spindle assembly checkpoint protein MAD2B,taxid:7227,Drosophila_melanogaster,"psi-mi:""MI:0018""(two hybrid)",pubmed:15575970
Unigene13251,chaperonin GroES,Unigene13420,thioredoxin 1,taxid:7227,Drosophila_melanogaster,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:22036573
Unigene1549,small subunit ribosomal protein S21e,Unigene13420,thioredoxin 1,taxid:7227,Drosophila_melanogaster,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:22036573
Unigene17242,small ubiquitin-related modifier,Unigene13420,thioredoxin 1,taxid:7227,Drosophila_melanogaster,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:22036573
Unigene2334,--,Unigene2334,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0114""(x-ray crystallography)",pubmed:12235139
Unigene12615,--,Unigene12615,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0114""(x-ray crystallography)",pubmed:18024585
Unigene7478,--,Unigene15972,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene3749,--,Unigene3749,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0428""(imaging technique)",pubmed:19523906
Unigene471,--,Unigene471,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0018""(two hybrid)",pubmed:14973045
Unigene15963,--,Unigene15963,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0018""(two hybrid)",pubmed:14973045
Unigene996,--,Unigene996,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:15690043
Unigene917,--,Unigene917,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:15690043
Unigene5084,--,Unigene5084,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:15690043
Unigene5702,--,Unigene752,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene1814,--,Unigene1814,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0114""(x-ray crystallography)",pubmed:18362341
Unigene11876,--,Unigene11876,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0114""(x-ray crystallography)",pubmed:18786405
Unigene8739,4-alpha-glucanotransferase [EC:2.4.1.25],Unigene13741,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene16895,aspartate aminotransferase [EC:2.6.1.1],Unigene752,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene1332,"ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]",Unigene3749,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene15257,ATP-dependent RNA helicase DDX5/DBP2 [EC:3.6.4.13],Unigene13741,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene9717,cellular nucleic acid-binding protein,Unigene13741,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene13251,chaperonin GroES,Unigene996,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0686""(unspecified method)",pubmed:19402753
Unigene13251,chaperonin GroES,Unigene5084,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene11630,DNA-directed RNA polymerase II subunit B [EC:2.7.7.6],Unigene17027,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene15237,mitochondrial processing peptidase [EC:3.4.24.64],Unigene13741,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene5758,NADH dehydrogenase (ubiquinone) 1 alpha/beta subcomplex 1 [EC:1.6.5.3 1.6.99.3],Unigene13741,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene4727,outer membrane lipoprotein Blc,Unigene752,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene4368,phosphoribosylformylglycinamidine synthase [EC:6.3.5.3],Unigene7478,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene9086,pyrroline-5-carboxylate reductase [EC:1.5.1.2],Unigene752,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene6521,small subunit ribosomal protein S14,Unigene15537,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0686""(unspecified method)",pubmed:19402753
Unigene7910,translation initiation factor IF-2,Unigene752,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene5730,translation initiation factor IF-3,Unigene13741,--,taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene4214,"lysyl-tRNA synthetase, class II [EC:6.1.1.6]",Unigene2712, [EC:1.1.1.-],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene4727,outer membrane lipoprotein Blc,Unigene2712, [EC:1.1.1.-],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene4261, [EC:3.4.21.-],Unigene4261, [EC:3.4.21.-],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0428""(imaging technique)",pubmed:18697939
Unigene1561,(S)-2-hydroxy-acid oxidase [EC:1.1.3.15],Unigene1561,(S)-2-hydroxy-acid oxidase [EC:1.1.3.15],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:15690043
Unigene2067,large subunit ribosomal protein L7/L12,Unigene13397,1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene17027,--,Unigene1775,1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:19402753
Unigene1775,1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7],Unigene1775,1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7],taxid:83333,Escherichia coli K12,"psi-mi:""MI:0004""(affinity chromatography technology)",pubmed:15690043
