Table 1.
        Continuously up-regulated transcripts by RPKM.
Unigene,Gene Length(bp),KO_id,Annotation,Functional class,BI RPKM,AI RPKM,1H RPKM
Unigene12581a,1474,K01933,Phosphoribosylformylglycinamidine cyclo-ligase; [EC:6.3.3.1],Nucleotide metabolism,0.96,3.45,16.56
Unigene1988a,859,K06689,Ubiquitin-conjugating enzyme E2 D/E; [EC:6.3.2.19],Folding<comma> sorting and degradation,2.32,5.93,91.65
Unigene11299,516,K10589,Ubiquitin-protein ligase E3 C; [EC:6.3.2.19],Folding<comma> sorting and degradation,0,2.43,7.78
Unigene1195,1023,K09584,Protein disulfide-isomerase A6; [EC:5.3.4.1],Folding<comma> sorting and degradation,8.29,119.81,398.25
Unigene13219,470,K02109,F-type H + -transporting ATPase subunit b; [EC:3.6.3.14],Energy related,20.87,41.83,91.19
Unigene11681,2176,K07407,Alpha-galactosidase; [EC:3.2.1.22],Energy related,5.54,12.74,115.53
Unigene12153,1423,K07298,Serine/threonine-protein kinase 11; [EC:2.7.11.9],Stress protection,2.69,7.43,40.08
Unigene3917a,2182,K00366,Ferredoxin-nitrite reductase; [EC:1.7.7.1],Energy related,5.45,36.86,92.19
Unigene11477a,2163,K00232,Acyl-CoA oxidase; [EC:1.3.3.6],Energy related,5.99,13.4,35.98
Unigene11275a,2051,K11816,YUCCA family monooxygenase; [EC:1.14.13.-],Amino acid metabolism,0.41,8.63,59.25
Unigene13468,1130,K00432,Glutathione peroxidase; [EC:1.11.1.9],Stress protection,4.19,24.88,1079.39
Unigene11238a,2018,K00033,6-phosphogluconate dehydrogenase; [EC:1.1.1.44],energy related,20.72,47.93,432.14
Unigene12950,2726,K03283,Heat shock 70 kDa protein 1/8,Stress protection,67.6,150.4,4746.29
Unigene10295a,2551,K04079,Molecular chaperone HtpG<comma>HSP90,Stress protection,1.99,40.92,5477.13
Unigene10667,1748,K07374,Tubulin alpha,cell skeleton and locomotion,5.75,25.14,1295.22
Unigene32615a,1869,K09288,Coiled-coil domain-containing protein 6,,6.67,14.62,483.18
Unigene10926a,1720,K11294,Nucleolin,RNA related,0.29,1.59,12.84
Unigene12923,946,K11996,Adenylyltransferase and sulfurtransferase,Folding<comma> sorting and degradation,2.99,8.11,17.86
Unigene10705,2770,K12826,Splicing factor 3A subunit 2,RNA related,2.34,14.59,66.03
Unigene1945a,1729,K12836,Splicing factor U2AF 35 kDa subunit,RNA related,7.64,17.85,53.62
Unigene1275a,1005,K12891,Splicing factor<comma> arginine/serine-rich 2,RNA related,2.65,19.64,256.52
Unigene10031a,1417,K13171,Serine/arginine repetitive matrix protein 1,RNA related,9.5,22.66,114.59
Unigene29928,1215,K13993,HSP20 family protein,Stress protection,0.75,2.51,3175.23
Unigene10403a,1044,K14007,Protein transport protein SEC24,Folding<comma> sorting and degradation,0.72,3.15,9.55
